customer_id,product_id,rating,review_text,review_date
286,43,4,Good product but delivery was delayed.,2023-06-27
271,1,4,Value for money.,2024-08-06
119,34,4,Very good quality and worth the price.,2023-02-14
61,109,5,Very good quality and worth the price.,2024-02-26
26,15,4,Very good quality and worth the price.,2025-03-08
462,100,5,Excellent product. Highly recommended.,2024-12-26
117,204,5,Amazing performance and easy to use.,2024-06-16
468,16,4,Exceeded my expectations.,2023-07-22
107,63,3,Excellent product. Highly recommended.,2023-04-29
402,70,4,Amazing performance and easy to use.,2023-03-30
301,236,5,Good product but delivery was delayed.,2025-04-12
482,296,3,Amazing performance and easy to use.,2024-06-24
229,273,5,Good product but delivery was delayed.,2024-02-13
354,38,5,Will definitely buy again.,2024-03-17
336,15,5,Will definitely buy again.,2025-05-09
126,177,3,Exceeded my expectations.,2024-09-06
160,83,5,Amazing performance and easy to use.,2023-10-29
185,39,4,Not satisfied with the quality.,2024-07-12
141,289,4,Average product. Could be better.,2023-01-01
180,281,5,Exceeded my expectations.,2024-07-21
293,79,4,Value for money.,2025-04-25
176,264,3,Will definitely buy again.,2023-01-26
259,294,4,Excellent product. Highly recommended.,2023-07-30
106,105,3,Good product but delivery was delayed.,2025-05-25
294,78,3,Excellent product. Highly recommended.,2023-04-07
299,223,3,Average product. Could be better.,2023-06-26
439,123,5,Not satisfied with the quality.,2024-11-29
465,70,5,Amazing performance and easy to use.,2025-01-29
187,78,4,Fast delivery and nice packaging.,2024-09-11
385,231,5,Very good quality and worth the price.,2024-06-06
79,124,5,Amazing performance and easy to use.,2025-03-29
361,286,3,Amazing performance and easy to use.,2025-01-13
366,265,4,Exceeded my expectations.,2024-05-01
167,134,5,Average product. Could be better.,2023-11-11
376,260,4,Value for money.,2024-09-27
317,214,3,Very good quality and worth the price.,2025-03-08
322,128,5,Will definitely buy again.,2023-06-09
132,59,3,Average product. Could be better.,2024-05-22
334,94,5,Very good quality and worth the price.,2023-04-15
94,135,4,Will definitely buy again.,2023-03-03
438,4,5,Very good quality and worth the price.,2025-04-08
352,173,5,Fast delivery and nice packaging.,2024-11-25
135,138,3,Excellent product. Highly recommended.,2024-10-30
205,286,4,Not satisfied with the quality.,2024-07-29
137,163,3,Not satisfied with the quality.,2024-04-14
321,28,4,Exceeded my expectations.,2025-01-29
421,299,4,Average product. Could be better.,2024-12-14
453,51,5,Value for money.,2024-02-14
484,180,4,Very good quality and worth the price.,2025-06-16
433,148,2,Very good quality and worth the price.,2024-06-21
219,252,4,Very good quality and worth the price.,2023-09-17
59,173,5,Exceeded my expectations.,2023-01-29
421,67,4,Good product but delivery was delayed.,2023-11-11
58,177,3,Very good quality and worth the price.,2024-11-21
251,1,5,Amazing performance and easy to use.,2023-11-01
333,131,1,Excellent product. Highly recommended.,2025-01-06
156,156,5,Excellent product. Highly recommended.,2023-06-24
438,191,5,Exceeded my expectations.,2023-12-05
308,182,4,Average product. Could be better.,2023-06-06
314,121,3,Good product but delivery was delayed.,2024-05-02
241,95,3,Will definitely buy again.,2025-03-20
56,213,5,Not satisfied with the quality.,2023-05-31
61,143,5,Fast delivery and nice packaging.,2023-02-28
215,272,4,Value for money.,2024-10-27
322,112,3,Exceeded my expectations.,2025-04-17
63,165,5,Not satisfied with the quality.,2024-02-05
4,27,5,Average product. Could be better.,2023-01-24
105,181,5,Not satisfied with the quality.,2023-10-22
421,8,2,Very good quality and worth the price.,2023-05-23
354,5,2,Average product. Could be better.,2024-05-11
390,300,5,Very good quality and worth the price.,2024-07-15
27,105,5,Exceeded my expectations.,2023-06-07
345,58,2,Amazing performance and easy to use.,2023-07-28
326,188,2,Will definitely buy again.,2025-01-05
213,255,3,Amazing performance and easy to use.,2025-06-13
285,100,4,Not satisfied with the quality.,2024-07-05
111,157,3,Average product. Could be better.,2024-08-03
240,189,4,Average product. Could be better.,2024-11-14
69,61,4,Excellent product. Highly recommended.,2025-04-20
173,155,5,Average product. Could be better.,2024-08-01
360,276,3,Exceeded my expectations.,2024-02-28
239,60,4,Amazing performance and easy to use.,2024-04-06
66,62,3,Very good quality and worth the price.,2024-10-04
332,299,3,Will definitely buy again.,2023-01-20
330,5,3,Not satisfied with the quality.,2024-12-04
375,149,3,Excellent product. Highly recommended.,2024-04-09
265,37,5,Fast delivery and nice packaging.,2024-09-04
22,174,5,Exceeded my expectations.,2024-12-31
266,182,5,Amazing performance and easy to use.,2024-07-17
130,100,4,Very good quality and worth the price.,2023-05-06
483,237,5,Will definitely buy again.,2023-02-22
380,267,3,Very good quality and worth the price.,2023-05-28
359,110,3,Exceeded my expectations.,2024-03-19
426,93,4,Very good quality and worth the price.,2023-10-17
392,97,5,Fast delivery and nice packaging.,2024-08-24
453,31,4,Average product. Could be better.,2024-10-14
160,74,2,Value for money.,2025-02-07
254,221,4,Average product. Could be better.,2025-03-26
159,151,3,Amazing performance and easy to use.,2023-10-02
30,271,4,Amazing performance and easy to use.,2025-05-04
158,125,4,Not satisfied with the quality.,2024-07-28
352,119,5,Good product but delivery was delayed.,2025-03-26
465,127,5,Average product. Could be better.,2023-10-15
21,139,5,Excellent product. Highly recommended.,2025-03-29
329,109,3,Average product. Could be better.,2023-02-02
157,51,3,Not satisfied with the quality.,2025-05-26
324,166,4,Very good quality and worth the price.,2025-02-27
333,254,4,Average product. Could be better.,2024-05-09
188,218,2,Value for money.,2024-11-23
171,266,4,Very good quality and worth the price.,2024-11-22
150,211,4,Amazing performance and easy to use.,2023-07-09
185,233,3,Amazing performance and easy to use.,2024-11-24
478,5,4,Very good quality and worth the price.,2024-03-01
300,74,5,Value for money.,2024-12-22
167,193,5,Value for money.,2024-09-12
345,226,4,Exceeded my expectations.,2023-08-03
444,23,4,Fast delivery and nice packaging.,2024-06-18
5,27,4,Will definitely buy again.,2023-02-10
57,118,2,Not satisfied with the quality.,2023-12-06
463,241,4,Amazing performance and easy to use.,2025-04-04
240,70,4,Average product. Could be better.,2024-02-17
133,99,4,Exceeded my expectations.,2024-04-10
47,204,5,Fast delivery and nice packaging.,2024-01-18
297,253,4,Will definitely buy again.,2024-06-19
472,122,5,Exceeded my expectations.,2023-09-05
196,136,4,Value for money.,2024-04-28
349,275,5,Value for money.,2024-12-03
96,21,5,Good product but delivery was delayed.,2023-06-18
319,196,4,Average product. Could be better.,2025-04-25
18,279,4,Excellent product. Highly recommended.,2023-11-25
161,24,3,Will definitely buy again.,2023-11-09
357,262,5,Exceeded my expectations.,2023-11-07
172,242,5,Not satisfied with the quality.,2024-09-06
142,269,5,Very good quality and worth the price.,2024-07-28
149,193,4,Amazing performance and easy to use.,2024-08-30
154,67,5,Average product. Could be better.,2024-03-21
158,124,4,Amazing performance and easy to use.,2024-04-19
319,39,5,Very good quality and worth the price.,2024-05-01
414,179,3,Average product. Could be better.,2024-01-02
390,33,5,Value for money.,2024-09-13
107,288,5,Average product. Could be better.,2024-06-07
62,26,2,Amazing performance and easy to use.,2023-01-10
62,2,4,Very good quality and worth the price.,2024-08-21
108,195,5,Average product. Could be better.,2024-03-17
110,26,4,Exceeded my expectations.,2024-05-14
413,180,3,Fast delivery and nice packaging.,2024-01-06
189,3,3,Value for money.,2024-10-24
54,173,2,Will definitely buy again.,2025-01-24
162,188,4,Will definitely buy again.,2023-10-10
191,63,3,Average product. Could be better.,2024-09-01
438,204,5,Value for money.,2023-08-17
265,29,2,Exceeded my expectations.,2024-12-22
229,206,5,Amazing performance and easy to use.,2023-05-16
310,295,4,Exceeded my expectations.,2025-01-22
426,205,1,Good product but delivery was delayed.,2024-08-27
19,241,4,Will definitely buy again.,2023-03-07
74,64,3,Not satisfied with the quality.,2025-02-25
394,133,4,Very good quality and worth the price.,2023-05-09
284,125,2,Good product but delivery was delayed.,2023-03-26
333,249,5,Value for money.,2024-05-13
390,40,1,Very good quality and worth the price.,2024-04-22
297,60,5,Fast delivery and nice packaging.,2025-05-03
19,187,5,Not satisfied with the quality.,2025-06-05
341,1,5,Excellent product. Highly recommended.,2024-05-09
274,3,4,Excellent product. Highly recommended.,2024-04-14
44,291,5,Excellent product. Highly recommended.,2023-07-22
430,249,5,Good product but delivery was delayed.,2024-06-27
310,74,4,Very good quality and worth the price.,2023-09-10
387,24,3,Fast delivery and nice packaging.,2024-03-19
86,214,5,Excellent product. Highly recommended.,2024-02-02
34,206,2,Will definitely buy again.,2024-07-27
260,95,3,Very good quality and worth the price.,2024-02-04
447,54,3,Exceeded my expectations.,2024-09-27
473,56,3,Will definitely buy again.,2024-03-15
110,208,4,Average product. Could be better.,2024-11-10
286,149,4,Will definitely buy again.,2023-11-05
6,17,5,Not satisfied with the quality.,2023-05-20
83,244,4,Amazing performance and easy to use.,2023-05-30
130,91,4,Not satisfied with the quality.,2024-04-16
64,150,5,Not satisfied with the quality.,2023-04-16
85,282,5,Very good quality and worth the price.,2023-08-19
499,287,5,Amazing performance and easy to use.,2023-02-08
317,82,5,Exceeded my expectations.,2024-02-23
203,74,4,Amazing performance and easy to use.,2023-06-02
309,106,5,Not satisfied with the quality.,2023-09-07
37,83,1,Fast delivery and nice packaging.,2025-01-08
310,168,5,Value for money.,2025-01-30
89,23,1,Very good quality and worth the price.,2025-01-06
355,291,4,Fast delivery and nice packaging.,2024-10-14
133,264,5,Fast delivery and nice packaging.,2023-01-05
312,99,3,Good product but delivery was delayed.,2023-05-10
264,65,4,Value for money.,2023-06-14
122,245,4,Fast delivery and nice packaging.,2025-02-23
60,134,5,Good product but delivery was delayed.,2024-12-06
110,14,3,Very good quality and worth the price.,2023-12-05
438,283,4,Excellent product. Highly recommended.,2023-10-29
385,173,2,Value for money.,2024-07-09
288,164,2,Average product. Could be better.,2024-03-31
46,187,5,Good product but delivery was delayed.,2023-05-12
169,170,3,Excellent product. Highly recommended.,2023-09-11
437,143,3,Very good quality and worth the price.,2023-08-06
201,292,3,Very good quality and worth the price.,2024-01-09
335,17,4,Will definitely buy again.,2025-04-13
359,123,4,Will definitely buy again.,2023-10-03
69,161,2,Amazing performance and easy to use.,2023-04-30
337,39,5,Excellent product. Highly recommended.,2025-06-14
101,106,5,Very good quality and worth the price.,2024-01-26
320,84,1,Excellent product. Highly recommended.,2023-05-13
105,166,4,Excellent product. Highly recommended.,2025-05-14
326,151,4,Excellent product. Highly recommended.,2025-04-02
472,21,3,Value for money.,2024-04-12
369,171,3,Excellent product. Highly recommended.,2025-06-10
292,141,5,Value for money.,2024-10-23
482,300,5,Will definitely buy again.,2023-06-17
7,25,5,Amazing performance and easy to use.,2024-06-27
407,89,2,Fast delivery and nice packaging.,2023-01-06
251,261,3,Good product but delivery was delayed.,2025-02-26
385,233,4,Value for money.,2023-11-29
477,229,4,Will definitely buy again.,2024-04-14
289,49,2,Fast delivery and nice packaging.,2023-06-13
471,143,5,Average product. Could be better.,2023-10-09
268,183,5,Very good quality and worth the price.,2023-02-27
398,29,4,Very good quality and worth the price.,2023-10-18
373,10,5,Not satisfied with the quality.,2024-08-31
404,99,5,Not satisfied with the quality.,2024-12-10
320,256,5,Not satisfied with the quality.,2024-01-07
30,22,5,Fast delivery and nice packaging.,2025-04-06
209,60,3,Exceeded my expectations.,2023-07-20
360,224,4,Exceeded my expectations.,2024-11-20
378,151,4,Amazing performance and easy to use.,2023-08-23
283,281,4,Not satisfied with the quality.,2024-12-24
310,38,5,Excellent product. Highly recommended.,2024-03-26
318,299,5,Fast delivery and nice packaging.,2023-06-10
451,174,4,Average product. Could be better.,2025-02-19
230,154,5,Excellent product. Highly recommended.,2025-04-24
252,68,3,Exceeded my expectations.,2023-10-12
320,153,4,Value for money.,2024-06-30
401,299,4,Amazing performance and easy to use.,2024-07-01
488,158,3,Average product. Could be better.,2025-02-22
13,231,4,Good product but delivery was delayed.,2024-01-14
347,166,4,Exceeded my expectations.,2024-07-17
249,4,2,Amazing performance and easy to use.,2024-02-19
79,129,5,Fast delivery and nice packaging.,2023-08-16
265,168,1,Will definitely buy again.,2025-05-09
154,164,3,Fast delivery and nice packaging.,2023-11-30
278,136,5,Excellent product. Highly recommended.,2025-01-03
286,136,3,Will definitely buy again.,2025-01-03
28,143,3,Will definitely buy again.,2023-02-03
417,38,3,Value for money.,2025-06-19
472,226,3,Good product but delivery was delayed.,2023-11-06
303,39,4,Excellent product. Highly recommended.,2024-06-24
417,245,4,Will definitely buy again.,2023-01-29
265,51,4,Amazing performance and easy to use.,2024-05-19
202,226,4,Fast delivery and nice packaging.,2024-11-24
335,14,1,Will definitely buy again.,2024-02-03
144,44,4,Will definitely buy again.,2023-03-19
236,196,3,Excellent product. Highly recommended.,2023-03-30
359,43,1,Very good quality and worth the price.,2023-05-05
61,117,4,Fast delivery and nice packaging.,2023-10-14
144,109,5,Amazing performance and easy to use.,2025-06-02
231,14,4,Amazing performance and easy to use.,2024-01-21
367,59,5,Will definitely buy again.,2023-07-09
311,218,4,Very good quality and worth the price.,2023-12-10
323,196,3,Not satisfied with the quality.,2024-08-27
105,191,4,Value for money.,2024-09-24
366,62,5,Not satisfied with the quality.,2023-10-08
357,146,5,Very good quality and worth the price.,2024-03-18
400,228,2,Not satisfied with the quality.,2023-12-10
107,82,4,Very good quality and worth the price.,2024-07-27
192,174,2,Not satisfied with the quality.,2023-01-11
416,252,2,Fast delivery and nice packaging.,2024-06-14
385,268,4,Average product. Could be better.,2023-02-02
162,284,1,Exceeded my expectations.,2024-05-11
185,237,5,Value for money.,2023-12-07
366,166,4,Value for money.,2023-01-16
470,59,4,Amazing performance and easy to use.,2023-09-16
92,292,4,Value for money.,2024-10-12
16,108,1,Amazing performance and easy to use.,2023-11-05
193,59,3,Fast delivery and nice packaging.,2023-08-03
222,6,4,Will definitely buy again.,2025-05-03
386,203,5,Exceeded my expectations.,2025-03-24
227,209,5,Exceeded my expectations.,2023-09-18
417,158,5,Excellent product. Highly recommended.,2023-08-22
222,202,5,Will definitely buy again.,2024-02-25
381,200,2,Excellent product. Highly recommended.,2023-04-08
386,53,5,Will definitely buy again.,2025-03-06
251,133,5,Average product. Could be better.,2023-10-25
84,282,5,Exceeded my expectations.,2023-11-09
214,232,4,Very good quality and worth the price.,2024-01-02
88,226,2,Average product. Could be better.,2024-07-11
295,100,4,Not satisfied with the quality.,2025-06-09
310,224,5,Will definitely buy again.,2025-05-11
2,223,5,Value for money.,2023-04-13
442,258,4,Fast delivery and nice packaging.,2023-07-10
365,1,5,Amazing performance and easy to use.,2025-02-09
438,118,5,Amazing performance and easy to use.,2024-07-13
165,146,3,Fast delivery and nice packaging.,2025-06-02
311,248,4,Good product but delivery was delayed.,2024-03-07
71,232,5,Fast delivery and nice packaging.,2024-11-16
322,6,5,Will definitely buy again.,2023-01-19
314,138,4,Average product. Could be better.,2023-10-31
433,277,5,Value for money.,2025-01-17
267,82,5,Good product but delivery was delayed.,2024-08-26
416,176,3,Good product but delivery was delayed.,2024-03-02
92,118,2,Good product but delivery was delayed.,2023-10-02
150,250,5,Very good quality and worth the price.,2024-08-05
224,279,4,Value for money.,2024-07-27
400,157,2,Not satisfied with the quality.,2023-08-24
124,250,2,Fast delivery and nice packaging.,2024-07-20
218,184,2,Not satisfied with the quality.,2024-04-06
238,125,5,Amazing performance and easy to use.,2024-03-30
397,300,3,Value for money.,2023-08-17
499,256,4,Exceeded my expectations.,2024-03-05
61,128,5,Exceeded my expectations.,2023-08-21
202,86,2,Very good quality and worth the price.,2023-03-21
211,217,4,Excellent product. Highly recommended.,2023-07-12
410,196,5,Value for money.,2024-05-12
239,193,4,Exceeded my expectations.,2023-11-08
129,187,5,Not satisfied with the quality.,2023-10-09
23,245,5,Fast delivery and nice packaging.,2023-07-04
235,120,4,Not satisfied with the quality.,2024-12-21
208,18,3,Will definitely buy again.,2023-07-17
12,160,4,Not satisfied with the quality.,2023-05-18
276,297,2,Exceeded my expectations.,2024-03-25
242,296,4,Excellent product. Highly recommended.,2024-12-12
107,26,4,Amazing performance and easy to use.,2024-03-04
94,216,5,Good product but delivery was delayed.,2024-03-16
34,118,5,Fast delivery and nice packaging.,2023-05-30
7,230,5,Value for money.,2023-07-29
336,225,4,Very good quality and worth the price.,2023-11-08
292,4,5,Will definitely buy again.,2024-10-19
223,240,5,Will definitely buy again.,2024-11-10
33,171,5,Fast delivery and nice packaging.,2023-02-19
226,144,2,Will definitely buy again.,2024-03-10
446,78,3,Very good quality and worth the price.,2024-02-04
323,6,3,Exceeded my expectations.,2023-09-11
469,253,3,Amazing performance and easy to use.,2024-10-17
105,27,5,Average product. Could be better.,2024-05-14
424,189,4,Not satisfied with the quality.,2023-09-05
421,211,3,Not satisfied with the quality.,2023-10-07
375,137,5,Amazing performance and easy to use.,2023-05-15
493,95,5,Very good quality and worth the price.,2023-06-26
304,155,4,Very good quality and worth the price.,2023-10-22
48,63,4,Excellent product. Highly recommended.,2024-11-03
491,63,3,Will definitely buy again.,2024-10-16
254,227,5,Value for money.,2024-02-17
34,253,2,Value for money.,2023-02-01
304,122,3,Average product. Could be better.,2023-09-29
484,57,4,Average product. Could be better.,2024-01-14
120,233,5,Exceeded my expectations.,2024-07-07
481,40,4,Will definitely buy again.,2024-02-16
192,18,5,Fast delivery and nice packaging.,2024-11-04
477,20,3,Average product. Could be better.,2023-10-10
200,18,5,Fast delivery and nice packaging.,2024-07-16
348,259,4,Excellent product. Highly recommended.,2023-08-12
242,291,4,Not satisfied with the quality.,2024-01-26
437,250,4,Will definitely buy again.,2023-01-17
348,85,3,Exceeded my expectations.,2023-08-02
337,147,5,Amazing performance and easy to use.,2024-03-17
219,20,5,Amazing performance and easy to use.,2023-10-05
431,114,3,Exceeded my expectations.,2023-06-10
96,38,1,Exceeded my expectations.,2023-06-22
312,299,4,Good product but delivery was delayed.,2024-12-07
286,123,5,Not satisfied with the quality.,2024-12-25
211,68,3,Will definitely buy again.,2023-04-06
216,228,5,Average product. Could be better.,2023-03-18
72,36,3,Average product. Could be better.,2024-06-22
293,15,5,Average product. Could be better.,2024-12-20
470,297,3,Amazing performance and easy to use.,2024-09-04
156,111,4,Fast delivery and nice packaging.,2025-06-09
197,188,4,Good product but delivery was delayed.,2024-01-21
339,120,4,Excellent product. Highly recommended.,2024-12-20
74,141,5,Amazing performance and easy to use.,2025-06-14
131,198,4,Average product. Could be better.,2024-08-27
19,35,1,Average product. Could be better.,2023-01-19
222,195,2,Amazing performance and easy to use.,2023-03-10
418,235,3,Exceeded my expectations.,2024-07-25
132,119,2,Will definitely buy again.,2025-01-16
70,261,2,Very good quality and worth the price.,2024-05-01
343,209,5,Average product. Could be better.,2025-03-09
307,43,3,Exceeded my expectations.,2023-07-23
408,257,2,Fast delivery and nice packaging.,2023-07-13
73,228,4,Will definitely buy again.,2024-03-21
453,146,4,Amazing performance and easy to use.,2025-02-03
161,88,5,Very good quality and worth the price.,2024-08-05
153,216,4,Not satisfied with the quality.,2024-11-09
358,234,3,Exceeded my expectations.,2024-02-17
214,218,4,Average product. Could be better.,2023-09-06
235,259,4,Very good quality and worth the price.,2025-05-06
112,204,5,Fast delivery and nice packaging.,2024-03-09
25,98,5,Good product but delivery was delayed.,2024-12-14
199,196,2,Good product but delivery was delayed.,2024-01-14
498,33,2,Excellent product. Highly recommended.,2024-01-12
236,98,3,Value for money.,2023-10-18
268,187,3,Exceeded my expectations.,2024-01-17
179,213,4,Good product but delivery was delayed.,2023-06-18
83,123,4,Will definitely buy again.,2024-07-18
243,107,5,Good product but delivery was delayed.,2023-03-30
340,192,3,Average product. Could be better.,2023-09-08
175,134,3,Amazing performance and easy to use.,2023-05-04
499,182,5,Value for money.,2025-03-16
29,206,4,Will definitely buy again.,2023-04-09
219,20,5,Good product but delivery was delayed.,2023-08-27
43,145,5,Not satisfied with the quality.,2023-09-30
493,28,5,Amazing performance and easy to use.,2023-05-08
492,65,1,Value for money.,2024-10-14
235,4,1,Good product but delivery was delayed.,2023-06-20
74,116,5,Excellent product. Highly recommended.,2023-12-03
453,5,5,Will definitely buy again.,2024-11-14
156,180,4,Value for money.,2023-04-20
39,156,2,Value for money.,2023-11-01
17,169,5,Amazing performance and easy to use.,2024-05-31
361,144,4,Not satisfied with the quality.,2023-09-20
409,251,5,Will definitely buy again.,2025-03-19
203,290,1,Not satisfied with the quality.,2025-02-21
194,221,2,Exceeded my expectations.,2023-08-31
102,208,5,Fast delivery and nice packaging.,2023-08-10
173,105,5,Value for money.,2024-09-21
81,100,3,Excellent product. Highly recommended.,2024-12-03
62,143,3,Amazing performance and easy to use.,2025-05-11
297,40,5,Excellent product. Highly recommended.,2023-12-18
166,299,4,Very good quality and worth the price.,2023-01-05
281,143,5,Value for money.,2025-02-07
365,238,4,Fast delivery and nice packaging.,2024-05-17
45,70,4,Good product but delivery was delayed.,2024-09-09
122,222,3,Fast delivery and nice packaging.,2023-06-14
372,7,5,Not satisfied with the quality.,2023-05-29
339,297,3,Value for money.,2023-02-28
160,234,2,Good product but delivery was delayed.,2024-06-24
320,210,5,Will definitely buy again.,2023-06-07
420,111,3,Exceeded my expectations.,2024-02-05
72,65,5,Very good quality and worth the price.,2024-02-24
374,271,4,Value for money.,2023-05-21
470,69,4,Will definitely buy again.,2023-04-12
61,146,5,Very good quality and worth the price.,2024-05-05
317,49,5,Fast delivery and nice packaging.,2024-11-24
47,191,5,Excellent product. Highly recommended.,2023-07-11
5,59,5,Average product. Could be better.,2024-05-18
415,65,5,Excellent product. Highly recommended.,2023-08-21
90,300,3,Not satisfied with the quality.,2024-12-21
153,59,5,Good product but delivery was delayed.,2023-09-22
343,268,5,Value for money.,2025-04-23
108,109,5,Amazing performance and easy to use.,2024-04-23
180,234,5,Value for money.,2024-07-23
226,259,3,Excellent product. Highly recommended.,2024-07-23
296,157,3,Exceeded my expectations.,2025-04-19
105,231,3,Good product but delivery was delayed.,2025-06-14
203,175,2,Excellent product. Highly recommended.,2024-05-05
201,126,5,Good product but delivery was delayed.,2024-08-05
442,107,3,Fast delivery and nice packaging.,2024-12-01
8,238,5,Very good quality and worth the price.,2023-09-11
230,22,4,Value for money.,2023-06-02
360,121,4,Excellent product. Highly recommended.,2024-12-08
476,203,5,Excellent product. Highly recommended.,2023-12-14
291,219,3,Exceeded my expectations.,2024-05-12
312,267,4,Will definitely buy again.,2023-02-03
364,213,4,Good product but delivery was delayed.,2023-03-18
388,164,2,Fast delivery and nice packaging.,2024-05-29
498,77,2,Fast delivery and nice packaging.,2023-03-05
1,156,4,Excellent product. Highly recommended.,2024-10-12
429,51,4,Will definitely buy again.,2023-09-17
183,244,5,Exceeded my expectations.,2025-03-12
499,186,5,Average product. Could be better.,2024-09-17
411,166,3,Amazing performance and easy to use.,2023-11-24
486,122,5,Fast delivery and nice packaging.,2023-05-04
232,259,4,Will definitely buy again.,2025-04-06
474,82,5,Excellent product. Highly recommended.,2023-05-11
235,3,5,Will definitely buy again.,2023-12-09
29,136,4,Very good quality and worth the price.,2024-10-30
473,246,3,Excellent product. Highly recommended.,2024-08-19
157,43,5,Average product. Could be better.,2024-09-25
274,134,3,Fast delivery and nice packaging.,2025-04-11
258,14,5,Exceeded my expectations.,2023-03-08
336,217,5,Good product but delivery was delayed.,2024-02-02
29,243,5,Exceeded my expectations.,2024-08-19
353,130,4,Will definitely buy again.,2024-07-07
411,260,5,Will definitely buy again.,2024-02-17
170,166,5,Excellent product. Highly recommended.,2024-02-26
392,141,2,Excellent product. Highly recommended.,2025-04-03
495,236,5,Not satisfied with the quality.,2023-10-21
351,231,5,Good product but delivery was delayed.,2023-06-18
458,107,5,Amazing performance and easy to use.,2025-01-02
461,258,2,Good product but delivery was delayed.,2023-01-15
322,137,2,Amazing performance and easy to use.,2023-09-15
12,231,5,Excellent product. Highly recommended.,2023-12-28
111,17,3,Value for money.,2024-10-28
226,227,4,Very good quality and worth the price.,2023-02-06
482,59,4,Exceeded my expectations.,2023-03-01
483,264,5,Will definitely buy again.,2023-10-25
448,51,2,Average product. Could be better.,2023-05-19
219,197,4,Exceeded my expectations.,2024-02-21
459,81,4,Fast delivery and nice packaging.,2024-05-31
226,144,5,Fast delivery and nice packaging.,2023-11-07
82,180,4,Exceeded my expectations.,2023-05-18
234,180,3,Not satisfied with the quality.,2023-05-16
61,69,2,Fast delivery and nice packaging.,2025-05-03
452,144,3,Exceeded my expectations.,2024-09-30
